time,ax,ay,az,fx,fy,fz,tx,ty,tz
8841,-0.172388,0,-9.73561,-0.882035,-0.72674,-4.86949,-0.276224,-0.255734,0.00137798
8842,-0.17521,0,-9.73438,-0.881842,-0.727594,-4.86688,-0.276177,-0.256243,0.00166205
8843,-0.17803,0,-9.73315,-0.881057,-0.727774,-4.86505,-0.276168,-0.256797,0.00184997
8844,-0.180849,0,-9.73192,-0.880935,-0.727757,-4.86454,-0.276251,-0.257002,0.00192477
8845,-0.183665,0,-9.73069,-0.88202,-0.726582,-4.86536,-0.276286,-0.257057,0.00191653
8846,-0.186481,0,-9.72946,-0.882242,-0.726235,-4.86616,-0.276376,-0.256978,0.00160079
8847,-0.189294,0,-9.72823,-0.882778,-0.726145,-4.86659,-0.276478,-0.256823,0.00124449
8848,-0.192106,0,-9.727,-0.884343,-0.725642,-4.86658,-0.27653,-0.256728,0.00116614
8849,-0.194917,0,-9.72577,-0.884112,-0.72611,-4.86659,-0.276569,-0.256729,0.000931575
8850,-0.197725,0,-9.72454,-0.884077,-0.726801,-4.86707,-0.276573,-0.256366,0.000850463
8851,-0.200532,0,-9.72332,-0.883598,-0.726465,-4.86852,-0.276472,-0.256203,0.00105596
8852,-0.203338,0,-9.72209,-0.883298,-0.726155,-4.86948,-0.276314,-0.255849,0.00137113
8853,-0.206141,0,-9.72086,-0.882541,-0.72579,-4.87075,-0.276236,-0.255849,0.00157597
8854,-0.208943,0,-9.71964,-0.881978,-0.726292,-4.87101,-0.27624,-0.255789,0.00157132
8855,-0.211744,0,-9.71841,-0.882219,-0.726474,-4.8707,-0.276181,-0.255827,0.00140235
8856,-0.214543,0,-9.71718,-0.882742,-0.726945,-4.86938,-0.276242,-0.256114,0.00135605
8857,-0.21734,0,-9.71596,-0.882729,-0.727645,-4.86783,-0.276372,-0.256419,0.00111051
8858,-0.220135,0,-9.71473,-0.883288,-0.727779,-4.86689,-0.276491,-0.256562,0.000878337
8859,-0.222929,0,-9.71351,-0.884011,-0.727266,-4.86667,-0.276562,-0.256656,0.000758901
8860,-0.225722,0,-9.71228,-0.885951,-0.725754,-4.86665,-0.276579,-0.256745,0.000939206
8861,-0.228512,0,-9.71106,-0.885816,-0.72594,-4.86605,-0.27662,-0.25693,0.000848256
8862,-0.231302,0,-9.70983,-0.886872,-0.726113,-4.86556,-0.276651,-0.25685,0.00078103
8863,-0.234089,0,-9.70861,-0.887832,-0.726272,-4.86517,-0.276674,-0.256782,0.000727732
8864,-0.236875,0,-9.70739,-0.888362,-0.72624,-4.86507,-0.276652,-0.256813,0.000786771
8865,-0.239659,0,-9.70616,-0.887427,-0.725389,-4.86632,-0.276615,-0.256803,0.000964107
8866,-0.242442,0,-9.70494,-0.885586,-0.724323,-4.86721,-0.276466,-0.256726,0.00157121
8867,-0.245223,0,-9.70372,-0.881707,-0.723333,-4.86919,-0.276157,-0.256946,0.00241499
8868,-0.248002,0,-9.7025,-0.876617,-0.724457,-4.87007,-0.27575,-0.257145,0.00307701
8869,-0.25078,0,-9.70127,-0.872247,-0.726709,-4.87106,-0.275377,-0.257245,0.00315068
8870,-0.253556,0,-9.70005,-0.871853,-0.729336,-4.86965,-0.275324,-0.257207,0.0028762
8871,-0.25633,0,-9.69883,-0.873967,-0.729451,-4.86673,-0.275567,-0.257664,0.00279658
8872,-0.259103,0,-9.69761,-0.876749,-0.728342,-4.86222,-0.276037,-0.258496,0.00255734
8873,-0.261874,0,-9.69639,-0.880316,-0.726239,-4.86194,-0.276595,-0.258421,0.00164354
8874,-0.264644,0,-9.69517,-0.884025,-0.723618,-4.86328,-0.276873,-0.257991,0.00140719
8875,-0.267412,0,-9.69395,-0.885068,-0.721991,-4.86465,-0.276837,-0.257725,0.00165441
8876,-0.270179,0,-9.69273,-0.883754,-0.722997,-4.86569,-0.276612,-0.257501,0.00152979
8877,-0.272944,0,-9.69151,-0.882684,-0.725076,-4.8648,-0.27641,-0.257526,0.00152821
8878,-0.275707,0,-9.69029,-0.881927,-0.726343,-4.86201,-0.276274,-0.258228,0.00185591
8879,-0.278469,0,-9.68907,-0.882475,-0.726738,-4.8609,-0.276375,-0.258381,0.00175759
8880,-0.281229,0,-9.68785,-0.883338,-0.725452,-4.86269,-0.276521,-0.257846,0.00150084
8881,-0.283987,0,-9.68663,-0.882055,-0.722896,-4.86443,-0.276486,-0.257282,0.00118334
8882,-0.286744,0,-9.68542,-0.879234,-0.722136,-4.86635,-0.27636,-0.256665,0.000792025
8883,-0.289499,0,-9.6842,-0.877692,-0.722003,-4.87031,-0.276135,-0.255954,0.000657171
8884,-0.292253,0,-9.68298,-0.876386,-0.723875,-4.86964,-0.275918,-0.256054,0.000962587
8885,-0.295005,0,-9.68176,-0.875967,-0.725642,-4.86661,-0.275803,-0.256787,0.00126933
8886,-0.297755,0,-9.68055,-0.87717,-0.727588,-4.86272,-0.275796,-0.2573,0.00145193
8887,-0.300504,0,-9.67933,-0.877361,-0.727907,-4.8613,-0.27598,-0.257741,0.00129588
8888,-0.303252,0,-9.67811,-0.878421,-0.726498,-4.86213,-0.276155,-0.257607,0.00123937
8889,-0.305997,0,-9.6769,-0.878715,-0.724385,-4.86191,-0.276322,-0.257493,0.000871191
8890,-0.308742,0,-9.67568,-0.879877,-0.723308,-4.86343,-0.276432,-0.257091,0.000772519
8891,-0.311484,0,-9.67447,-0.881323,-0.72302,-4.86285,-0.276462,-0.257265,0.000910328
8892,-0.314225,0,-9.67325,-0.881604,-0.724067,-4.8602,-0.276449,-0.25774,0.000968067
8893,-0.316965,0,-9.67204,-0.882154,-0.725169,-4.85793,-0.276378,-0.258116,0.00115601
8894,-0.319702,0,-9.67082,-0.881634,-0.726015,-4.8577,-0.276265,-0.258095,0.00137372
8895,-0.322439,0,-9.66961,-0.878839,-0.72578,-4.85838,-0.276049,-0.257875,0.00101433
8896,-0.325173,0,-9.6684,-0.876891,-0.724338,-4.86067,-0.275926,-0.257333,0.000870215
8897,-0.327906,0,-9.66718,-0.875439,-0.723291,-4.8623,-0.275856,-0.256781,0.000644388
8898,-0.330638,0,-9.66597,-0.875179,-0.723251,-4.86387,-0.275914,-0.256624,0.000635891
8899,-0.333368,0,-9.66476,-0.875428,-0.723753,-4.86324,-0.276004,-0.256951,0.00059866
8900,-0.336096,0,-9.66354,-0.876254,-0.724303,-4.86171,-0.275995,-0.25726,0.000652835
8901,-0.338823,0,-9.66233,-0.877504,-0.72442,-4.86092,-0.275909,-0.257464,0.000904815
8902,-0.341548,0,-9.66112,-0.877105,-0.724795,-4.86141,-0.275866,-0.257356,0.000966549
8903,-0.344272,0,-9.65991,-0.877801,-0.724137,-4.86282,-0.275918,-0.257151,0.00110751
8904,-0.346994,0,-9.6587,-0.879431,-0.72339,-4.86353,-0.275992,-0.257102,0.0011229
8905,-0.349715,0,-9.65749,-0.881206,-0.722379,-4.86337,-0.276179,-0.257188,0.000996534
