time,r11,r12,r13,r21,r22,r23,r31,r32,r33
450121,1.43535e-07,-1,3.67195e-06,0.0261681,-3.66693e-06,-0.999658,0.999658,2.39574e-07,0.0261681
459887,-2.23014e-07,-1,3.67176e-06,0.0280767,-3.67657e-06,-0.999606,0.999606,-1.19835e-07,0.0280767
470053,-1.10312e-07,-1,3.67155e-06,0.0300315,-3.67321e-06,-0.999549,0.999549,2.22045e-16,0.0300315
479940,-1.17718e-07,-1,3.67132e-06,0.0320479,-3.67321e-06,-0.999486,0.999486,-3.33067e-16,0.0320479
490137,-1.25427e-07,-1,3.67106e-06,0.0341464,-3.67321e-06,-0.999417,0.999417,2.77556e-16,0.0341464
499770,-3.13299e-07,-1,3.67078e-06,0.0363524,-3.67974e-06,-0.999339,0.999339,-1.7965e-07,0.0363524
509940,-2.61904e-07,-1,3.67046e-06,0.0386643,-3.67784e-06,-0.999252,0.999252,-1.19792e-07,0.0386643
520170,-1.38903e-07,-1,3.6701e-06,0.0410937,-3.67271e-06,-0.999155,0.999155,1.20328e-08,0.0410937
529817,-8.83962e-08,-1,3.6697e-06,0.0436475,-3.67007e-06,-0.999047,0.999047,7.18615e-08,0.0436475
539711,-1.70083e-07,-1,3.66927e-06,0.0463036,-3.67321e-06,-0.998927,0.998927,1.11022e-16,0.0463036
550038,-1.80068e-07,-1,3.66879e-06,0.0490221,-3.67321e-06,-0.998798,0.998798,-3.88578e-16,0.0490221
559767,-1.90144e-07,-1,3.66828e-06,0.0517651,-3.67321e-06,-0.998659,0.998659,-1.11022e-16,0.0517651
570046,-2.00212e-07,-1,3.66774e-06,0.054506,-3.67321e-06,-0.998513,0.998513,-3.88578e-16,0.054506
580209,-1.98234e-07,-1,3.66718e-06,0.0572461,-3.67252e-06,-0.99836,0.99836,1.20233e-08,0.0572461
589722,-1.48731e-07,-1,3.66657e-06,0.060073,-3.66888e-06,-0.998194,0.998194,7.18001e-08,0.060073
599931,-1.59558e-07,-1,3.6659e-06,0.0630206,-3.66867e-06,-0.998012,0.998012,7.1787e-08,0.0630206
610003,-1.70931e-07,-1,3.66517e-06,0.0661168,-3.66845e-06,-0.997812,0.997812,7.17726e-08,0.0661168
620112,-6.28335e-08,-1,3.66437e-06,0.0693252,-3.65991e-06,-0.997594,0.997594,1.91351e-07,0.0693252
629952,-2.66733e-07,-1,3.66351e-06,0.0726158,-3.67321e-06,-0.99736,0.99736,-2.77556e-16,0.0726158
640081,-9.90957e-08,-1,3.6626e-06,0.0759186,-3.65956e-06,-0.997114,0.997114,1.7925e-07,0.0759186
650199,-4.10916e-07,-1,3.66166e-06,0.0792316,-3.6827e-06,-0.996856,0.996856,-1.19505e-07,0.0792316
659733,-3.03504e-07,-1,3.66064e-06,0.0826264,-3.67321e-06,-0.996581,0.996581,-3.33067e-16,0.0826264
670103,-3.16429e-07,-1,3.65955e-06,0.0861453,-3.67321e-06,-0.996283,0.996283,-3.88578e-16,0.0861453
679953,-4.49454e-07,-1,3.65839e-06,0.0897233,-3.68396e-06,-0.995967,0.995967,-1.19398e-07,0.0897233
690016,-4.62865e-07,-1,3.65716e-06,0.0933744,-3.6844e-06,-0.995631,0.995631,-1.19358e-07,0.0933744
700270,-1.16939e-07,-1,3.65585e-06,0.0970801,-3.64994e-06,-0.995277,0.995277,2.38524e-07,0.0970801
710072,-6.10223e-07,-1,3.65447e-06,0.100884,-3.69738e-06,-0.994898,0.994898,-2.38433e-07,0.100884
719838,-1.45481e-07,-1,3.65296e-06,0.10485,-3.64808e-06,-0.994488,0.994488,2.38335e-07,0.10485
730011,-5.19927e-07,-1,3.65136e-06,0.108909,-3.68626e-06,-0.994052,0.994052,-1.19169e-07,0.108909
740235,-5.34902e-07,-1,3.64968e-06,0.112986,-3.68675e-06,-0.993597,0.993597,-1.19114e-07,0.112986
749834,-4.30019e-07,-1,3.64795e-06,0.117069,-3.67321e-06,-0.993124,0.993124,2.77556e-16,0.117069
760091,-2.0568e-07,-1,3.64611e-06,0.121239,-3.64415e-06,-0.992623,0.992623,2.37888e-07,0.121239
770171,-5.81249e-07,-1,3.64412e-06,0.125604,-3.68826e-06,-0.992081,0.992081,-1.18933e-07,0.125604
780258,-4.77516e-07,-1,3.64203e-06,0.13,-3.67321e-06,-0.991514,0.991514,-1.11022e-16,0.13
789939,-4.21823e-07,-1,3.63987e-06,0.13442,-3.66354e-06,-0.990924,0.990924,7.12772e-08,0.13442
800077,-3.18348e-07,-1,3.63761e-06,0.138887,-3.64657e-06,-0.990308,0.990308,1.89953e-07,0.138887
810067,-4.07383e-07,-1,3.63517e-06,0.143544,-3.656e-06,-0.989644,0.989644,1.18641e-07,0.143544
820276,-3.53147e-07,-1,3.63256e-06,0.148361,-3.64475e-06,-0.988933,0.988933,1.89689e-07,0.148361
829927,-6.69967e-07,-1,3.62995e-06,0.153035,-3.68972e-06,-0.988221,0.988221,-1.06567e-07,0.153035
840097,1.89115e-06,-1,3.62709e-06,0.157257,-3.28456e-06,-0.987558,0.987558,2.438e-06,0.157257
849795,-4.03793e-07,-1,3.62459e-06,0.162149,-3.6421e-06,-0.986766,0.986766,1.89272e-07,0.162149
859954,-2.54674e-07,-1,3.62148e-06,0.16722,-3.61307e-06,-0.98592,0.98592,3.54496e-07,0.16722
870113,9.00816e-07,-1,3.61821e-06,0.172371,-3.40878e-06,-0.985032,0.985032,1.51101e-06,0.172371
879744,2.15474e-06,-1,-6.22613e-06,0.177674,6.50991e-06,-0.984089,0.984089,1.01424e-06,0.177674
889911,1.32728e-06,-1,-6.21962e-06,0.183273,6.35753e-06,-0.983062,0.983062,1.64909e-07,0.183273
900122,1.45906e-06,-1,-6.2128e-06,0.188957,6.37658e-06,-0.981985,0.981985,2.58823e-07,0.188957
909736,1.81746e-06,-1,-6.20601e-06,0.194436,6.44095e-06,-0.980915,0.980915,5.76102e-07,0.194436
920111,-1.58986e-07,-1,3.59911e-06,0.199893,-3.55825e-06,-0.979818,0.979818,5.63658e-07,0.199893
930190,-3.71362e-07,-1,3.59484e-06,0.205491,-3.59443e-06,-0.978659,0.978659,3.75271e-07,0.205491
939751,-8.21511e-09,-1,3.5905e-06,0.211066,-3.51135e-06,-0.977472,0.977472,7.49802e-07,0.211066
949922,2.1138e-07,-1,3.58611e-06,0.216527,-3.45527e-06,-0.976277,0.976277,9.82856e-07,0.216527
960171,2.07643e-06,-1,-6.16869e-06,0.222127,6.47581e-06,-0.975018,0.975018,6.54324e-07,0.222127
969747,2.20864e-06,-1,-6.16032e-06,0.227852,6.50152e-06,-0.973696,0.973696,7.46907e-07,0.227852
979772,-1.14576e-07,-1,3.57175e-06,0.23347,-3.49979e-06,-0.972364,0.972364,7.22488e-07,0.23347
989787,-4.95101e-07,-1,3.56662e-06,0.239178,-3.58152e-06,-0.970976,0.970976,3.72326e-07,0.239178
1000111,-1.33178e-07,-1,3.56123e-06,0.245086,-3.48526e-06,-0.969501,0.969501,7.4369e-07,0.245086
1009738,-1.78838e-07,-1,3.5557e-06,0.250965,-3.48679e-06,-0.967996,0.967996,7.19243e-07,0.250965
1019796,-5.59951e-07,-1,3.55002e-06,0.256833,-3.57475e-06,-0.966456,0.966456,3.70593e-07,0.256833
1030025,-5.82247e-07,-1,3.54402e-06,0.262903,-3.57242e-06,-0.964822,0.964822,3.69967e-07,0.262903
1039720,-3.16924e-07,-1,3.53788e-06,0.268976,-3.49274e-06,-0.963147,0.963147,6.46359e-07,0.268976
1049807,-4.34995e-07,-1,3.53158e-06,0.275034,-3.51502e-06,-0.961435,0.961435,5.53086e-07,0.275034
1059939,-7.45904e-07,-1,3.52482e-06,0.281371,-3.59229e-06,-0.959599,0.959599,2.76015e-07,0.281371
1070194,-5.06079e-07,-1,3.5178e-06,0.287835,-3.51459e-06,-0.95768,0.95768,5.27882e-07,0.287835
1079804,-5.05601e-07,-1,3.51061e-06,0.294256,-3.50396e-06,-0.955727,0.955727,5.49801e-07,0.294256
1090236,-4.3426e-07,-1,3.50298e-06,0.30092,-3.4713e-06,-0.95365,0.95365,6.39985e-07,0.30092
1099896,-3.62817e-07,-1,3.49514e-06,0.307603,-3.43728e-06,-0.951515,0.951515,7.2989e-07,0.307603
1110201,-3.87428e-07,-1,3.48709e-06,0.314303,-3.43214e-06,-0.949323,0.949323,7.28209e-07,0.314303
1119801,1.14528e-07,-1,3.47867e-06,0.321152,-3.25762e-06,-0.947028,0.947028,1.22564e-06,0.321152
1130016,-8.20993e-07,-1,3.47013e-06,0.3279,-3.54748e-06,-0.944713,0.944713,3.62252e-07,0.3279
1140144,-7.8917e-08,-1,3.46137e-06,0.334704,-3.28815e-06,-0.942323,0.942323,1.08417e-06,0.334704
1149732,-6.07951e-07,-1,3.45213e-06,0.341702,-3.45208e-06,-0.939808,0.939808,6.0824e-07,0.341702
1159930,-6.33289e-07,-1,3.44279e-06,0.3486,-3.44759e-06,-0.937272,0.937272,6.06592e-07,0.3486
1170074,-9.22745e-07,-1,3.43311e-06,0.355601,-3.53685e-06,-0.934638,0.934638,3.58385e-07,0.355601
1179796,-7.68613e-07,-1,3.42325e-06,0.36258,-3.46899e-06,-0.931953,0.931953,5.24891e-07,0.36258
1189767,-1.06953e-06,-1,3.41328e-06,0.369475,-3.56693e-06,-0.929241,0.929241,2.67274e-07,0.369475
1200015,-6.87927e-07,-1,3.40286e-06,0.376529,-3.41145e-06,-0.926405,0.926405,6.43979e-07,0.376529
1210223,-1.14497e-06,-1,3.3924e-06,0.383464,-3.57212e-06,-0.923556,0.923556,2.43414e-07,0.383464
