time,r11,r12,r13,r21,r22,r23,r31,r32,r33
1174881,1.50749e-06,-1,-1.52216e-05,0.361722,1.47362e-05,-0.932286,0.932286,-4.10057e-06,0.361722
1184922,1.52392e-06,-1,-1.51775e-05,0.368597,1.46706e-05,-0.929589,0.929589,-4.17778e-06,0.368597
1195053,1.19555e-06,-1,-1.51315e-05,0.375639,1.44725e-05,-0.926766,0.926766,-4.57599e-06,0.375639
1205216,1.51343e-06,-1,-1.50847e-05,0.382631,1.45159e-05,-0.923901,0.923901,-4.37362e-06,0.382631
1214892,1.67517e-06,-1,-1.5037e-05,0.389609,1.45015e-05,-0.92098,0.92098,-4.31577e-06,0.389609
1225045,1.98212e-06,-1,-1.49878e-05,0.396661,1.45445e-05,-0.917965,0.917965,-4.12556e-06,0.396661
1235123,2.52718e-06,-1,-1.49381e-05,0.403619,1.46873e-05,-0.914927,0.914927,-3.71712e-06,0.403619
1244994,1.82755e-06,-1,-1.48868e-05,0.41068,1.4324e-05,-0.911779,0.911779,-4.44739e-06,0.41068
1255260,2.00112e-06,-1,-1.48351e-05,0.417643,1.43151e-05,-0.908611,0.908611,-4.37752e-06,0.417643
1264976,2.79481e-06,-1,-1.47836e-05,0.424416,1.45722e-05,-0.905467,0.905467,-3.74379e-06,0.424416
1275143,2.19959e-06,-1,-1.47307e-05,0.431266,1.4239e-05,-0.902225,0.902225,-4.36831e-06,0.431266
1284938,2.89638e-06,-1,-1.46777e-05,0.437981,1.44636e-05,-0.898984,0.898984,-3.82473e-06,0.437981
1295216,2.39554e-06,-1,-1.46234e-05,0.444742,1.4163e-05,-0.895659,0.895659,-4.35806e-06,0.444742
1304897,2.63684e-06,-1,-1.45686e-05,0.451439,1.419e-05,-0.892302,0.892302,-4.22397e-06,0.451439
1315097,2.60145e-06,-1,-1.45131e-05,0.458081,1.40926e-05,-0.88891,0.88891,-4.33573e-06,0.458081
1325392,2.6533e-06,-1,-1.4455e-05,0.464925,1.40314e-05,-0.88535,0.88535,-4.3714e-06,0.464925
1335062,3.2206e-06,-1,-1.43956e-05,0.471781,1.42123e-05,-0.881716,0.881716,-3.95193e-06,0.471781
1345107,3.32187e-06,-1,-1.43345e-05,0.47872,1.41754e-05,-0.877968,0.877968,-3.94569e-06,0.47872
1355321,3.92773e-06,-1,-1.42715e-05,0.485727,1.43826e-05,-0.874111,0.874111,-3.49876e-06,0.485727
1365147,3.11639e-06,-1,-1.42089e-05,0.492559,1.39007e-05,-0.870279,0.870279,-4.28658e-06,0.492559
1374953,2.94174e-06,-1,-1.41443e-05,0.499479,1.37229e-05,-0.866326,0.866326,-4.51629e-06,0.499479
1385318,3.31513e-06,-1,-1.40805e-05,0.506198,1.38213e-05,-0.862417,0.862417,-4.26849e-06,0.506198
1395245,3.30536e-06,-1,-1.40153e-05,0.512943,1.37265e-05,-0.858423,0.858423,-4.35163e-06,0.512943
1405003,3.60738e-06,-1,-1.39488e-05,0.519693,1.37919e-05,-0.854353,0.854353,-4.16712e-06,0.519693
1415221,3.52145e-06,-1,-1.38838e-05,0.526178,1.36594e-05,-0.850375,0.850375,-4.31081e-06,0.526178
1425022,3.14961e-06,-1,-1.38168e-05,0.532758,1.33707e-05,-0.846267,0.846267,-4.69558e-06,0.532758
1435336,3.74616e-06,-1,-1.37499e-05,0.539204,1.35998e-05,-0.842175,0.842175,-4.25909e-06,0.539204
1444988,3.66134e-06,-1,-1.36809e-05,0.545757,1.3462e-05,-0.837943,0.837943,-4.39842e-06,0.545757
1454863,4.52547e-06,-1,-1.36092e-05,0.552439,1.38441e-05,-0.833553,0.833553,-3.74605e-06,0.552439
1465266,6.5502e-06,-1,-1.35375e-05,0.55901,1.48864e-05,-0.829161,0.829161,-2.13646e-06,0.55901
1474906,-2.16043e-05,-1,1.95191e-05,0.565835,-2.83183e-05,-0.824518,0.824518,-6.7686e-06,0.565835
1484809,-4.61564e-05,-1,5.22005e-05,0.572628,-6.92252e-05,-0.819815,0.819815,-7.94825e-06,0.572628
1495017,-4.42996e-05,-1,5.18957e-05,0.579416,-6.79645e-05,-0.815032,0.815032,-6.0364e-06,0.579416
1505080,-5.25366e-05,-1,5.96949e-05,0.58606,-7.91585e-05,-0.810268,0.810268,-7.58395e-06,0.58606
1515259,-3.52411e-05,-1,3.51867e-05,0.592343,-4.92242e-05,-0.805686,0.805686,-7.55067e-06,0.592343
1525047,-1.08989e-05,-1,2.9424e-06,0.598504,-8.88027e-06,-0.80112,0.80112,-6.97032e-06,0.598504
1534811,1.13152e-06,-1,-1.30073e-05,0.604413,1.10465e-05,-0.796671,0.796671,-6.96035e-06,0.604413
1545127,7.26181e-06,-1,-2.08535e-05,0.610412,2.09504e-05,-0.792084,0.792084,-6.97724e-06,0.610412
1554902,2.19167e-06,-1,-1.28555e-05,0.616495,1.1473e-05,-0.787359,0.787359,-6.1997e-06,0.616495
1564929,-5.6847e-06,-1,-4.95181e-06,0.622525,3.36416e-07,-0.7826,0.7826,-7.53147e-06,0.622525
1575274,-1.14296e-05,-1,2.85578e-06,0.628763,-9.40718e-06,-0.777597,0.777597,-7.09204e-06,0.628763
1584946,-1.09249e-05,-1,2.83745e-06,0.634928,-9.12864e-06,-0.772571,0.772571,-6.63866e-06,0.634928
1594757,-4.82444e-06,-1,-4.85624e-06,0.641057,6.3439e-07,-0.767493,0.767493,-6.81586e-06,0.641057
1605168,-4.54596e-06,-1,-4.8236e-06,0.647193,7.35044e-07,-0.762326,0.762326,-6.58731e-06,0.647193
1615022,1.61423e-06,-1,-1.2365e-05,0.653053,1.04183e-05,-0.757313,0.757313,-6.85251e-06,0.653053
1624937,1.63805e-06,-1,-1.22817e-05,0.658924,1.03178e-05,-0.75221,0.75221,-6.86055e-06,0.658924
1635262,2.15293e-06,-1,-1.21975e-05,0.664763,1.05434e-05,-0.747055,0.747055,-6.50008e-06,0.664763
1645153,-4.57766e-06,-1,-4.69399e-06,0.670598,4.12337e-07,-0.741821,0.741821,-6.54358e-06,0.670598
1655002,-4.13311e-06,-1,-4.66025e-06,0.676451,6.36365e-07,-0.736487,0.736487,-6.19641e-06,0.676451
1664812,-4.99568e-06,-1,-4.62668e-06,0.682181,-2.50104e-08,-0.731183,0.731183,-6.80899e-06,0.682181
1675089,-4.44405e-06,-1,-4.59238e-06,0.687939,2.75773e-07,-0.725769,0.725769,-6.38463e-06,0.687939
