time,fx,fy,fz,tx,ty,tz
123855,0.242763,-1.00347,9.74144,0.421301,-1.07292,-0.15912
125316,0.59414,-0.979165,9.69832,0.422392,-1.0381,-0.159199
126753,-0.117281,-0.854303,9.69982,0.413262,-1.0912,-0.157277
128158,-0.416019,-0.820574,9.65349,0.410547,-1.09375,-0.158397
129574,-1.1201,-0.792468,9.78461,0.410602,-1.14525,-0.157769
131030,-0.793955,-0.893736,9.76578,0.415078,-1.13053,-0.159019
132491,-0.178833,-1.01767,9.78633,0.423274,-1.08907,-0.157496
133869,0.192633,-1.05955,9.70341,0.42201,-1.07733,-0.159812
135304,0.732099,-1.00061,9.67225,0.422367,-1.02678,-0.160186
136741,-0.089817,-0.818739,9.61509,0.410776,-1.08864,-0.157244
138194,-0.460974,-0.795051,9.56968,0.409364,-1.09489,-0.158458
139607,-1.25323,-0.787903,9.73244,0.410178,-1.15267,-0.157898
141031,-1.02182,-0.888236,9.77354,0.414144,-1.14201,-0.160218
142463,-0.174582,-1.11851,9.72452,0.427539,-1.08687,-0.158867
143910,0.223662,-1.04475,9.70375,0.424349,-1.0785,-0.159847
145375,0.843505,-0.928595,9.57674,0.416014,-1.01825,-0.160856
146758,-0.014898,-0.823451,9.56002,0.411041,-1.08294,-0.157854
148225,-0.512445,-0.782368,9.49985,0.407818,-1.10113,-0.159597
149669,-1.25557,-0.778579,9.71575,0.408526,-1.1501,-0.158422
151118,-1.05519,-0.916446,9.75866,0.415174,-1.1497,-0.160794
152522,-0.058388,-1.13697,9.70681,0.432205,-1.07775,-0.160232
153958,0.298795,-1.02307,9.68672,0.42098,-1.0761,-0.16005
155382,0.941595,-0.90663,9.58123,0.414817,-1.0131,-0.161955
156848,0.022144,-0.826713,9.52988,0.411608,-1.08326,-0.157659
158249,-0.628867,-0.780972,9.47052,0.410855,-1.10498,-0.159946
159696,-1.20768,-0.808334,9.66986,0.410512,-1.14723,-0.158623
161121,-1.04904,-0.986658,9.70634,0.416951,-1.14843,-0.160583
162528,-0.11861,-1.19315,9.59345,0.433353,-1.07773,-0.160301
163940,0.041285,-0.924162,9.63503,0.415708,-1.09049,-0.159729
165363,0.588843,-0.876525,9.54649,0.412815,-1.03264,-0.161833
166831,-0.273341,-0.897169,9.51229,0.418,-1.0991,-0.1574
168287,-0.701301,-0.758787,9.60061,0.404865,-1.1108,-0.159132
169716,-1.00272,-0.9361,9.73822,0.417935,-1.13587,-0.158768
171114,-0.618492,-1.04766,9.71213,0.423752,-1.12628,-0.160121
172593,0.237829,-1.06896,9.72523,0.425126,-1.0638,-0.159979
173960,0.411247,-0.94538,9.6028,0.416465,-1.0704,-0.158618
175418,0.851739,-0.818354,9.48498,0.41226,-1.0219,-0.160468
176830,0.036179,-0.738342,9.58101,0.406275,-1.07982,-0.157723
178290,-0.484097,-0.868229,9.57205,0.415341,-1.09876,-0.158329
179740,-0.981694,-0.927465,9.81446,0.418245,-1.13778,-0.158719
181158,-0.852089,-0.862026,9.88119,0.411164,-1.13668,-0.158102
182563,0.03109,-1.20884,9.62628,0.438032,-1.07966,-0.159093
184008,0.569244,-0.814274,9.69088,0.408809,-1.05831,-0.157912
185443,1.01171,-0.789698,9.5733,0.404472,-1.01768,-0.160359
186864,0.37829,-1.00867,9.52981,0.428049,-1.05507,-0.157737
188289,-0.432487,-0.73522,9.69158,0.402808,-1.09841,-0.15733
189705,-1.0664,-1.02919,9.74922,0.426372,-1.14052,-0.158596
191143,-1.02877,-0.908962,9.86284,0.415028,-1.1433,-0.156956
192613,-0.224743,-1.01981,9.71155,0.419786,-1.09711,-0.156815
194025,0.526447,-1.04408,9.54341,0.427862,-1.05628,-0.158397
195460,0.860612,-0.660194,9.59827,0.3979,-1.03425,-0.159147
196939,0.509926,-0.955676,9.48865,0.421445,-1.04194,-0.157405
198374,-0.446577,-0.917739,9.52159,0.418651,-1.09942,-0.157102
199760,-1.08224,-0.84064,9.74389,0.410392,-1.13701,-0.158969
201194,-1.34679,-0.897197,9.76764,0.418685,-1.15732,-0.157012
202624,-0.764816,-0.995821,9.68703,0.421503,-1.13016,-0.157013
204098,0.185518,-0.939435,9.57309,0.419924,-1.07486,-0.159664
205491,0.70107,-0.764019,9.58757,0.405677,-1.04116,-0.158667
206962,0.640846,-0.947708,9.46223,0.421351,-1.03819,-0.158975
208350,-0.191201,-0.884864,9.54583,0.415383,-1.08587,-0.158784
209792,-1.1083,-0.824692,9.6984,0.410389,-1.1333,-0.158701
211230,-1.46867,-0.918679,9.79236,0.419706,-1.16612,-0.156945
212665,-1.00749,-0.888776,9.77424,0.411917,-1.13988,-0.159292
