time,a_x,a_y,a_z,F_x,F_y,F_z,T_x,T_y,T_z,z_1,z_2,z_3,z_4,z_5,z_6
28843,0.997228,0.0707261,0.0101321,-0.292035,-0.905554,10.1472,0.42658,-1.09742,-0.148099,8.82554,-0.258911,10.2398,0.398128,-0.696245,-0.148099
29738,0.997228,0.0707261,0.0101321,-0.292035,-0.905554,10.1472,0.42658,-1.09742,-0.148099,8.82554,-0.258911,10.2398,0.398128,-0.696245,-0.148099
30076,0.997228,0.0707262,0.0101266,-0.300251,-0.895847,10.1469,0.426157,-1.0977,-0.148052,8.81732,-0.249203,10.2395,0.397705,-0.696529,-0.148052
31518,0.997228,0.0707262,0.0101212,-0.287968,-0.929725,10.1498,0.42637,-1.09797,-0.147987,8.82961,-0.283081,10.2423,0.397918,-0.696799,-0.147987
32799,1.00574,0.0694444,0.00949973,-0.287968,-0.929725,10.1498,0.42637,-1.09797,-0.147987,8.90744,-0.294801,10.2366,0.398434,-0.693374,-0.147987
32984,1.00574,0.0694444,0.00949428,-0.263026,-0.982376,10.1466,0.427249,-1.09785,-0.147767,8.93238,-0.347451,10.2334,0.399312,-0.693249,-0.147767
34371,1.00574,0.0694445,0.00948884,-0.258263,-0.916669,10.147,0.42637,-1.09782,-0.148044,8.93714,-0.281743,10.2337,0.398433,-0.693221,-0.148044
35809,1.00574,0.0694446,0.0094834,-0.259875,-0.885227,10.1386,0.425906,-1.098,-0.148395,8.93553,-0.250301,10.2253,0.397969,-0.693402,-0.148395
36727,1.00907,0.0691682,0.0106302,-0.259875,-0.885227,10.1386,0.425906,-1.098,-0.148395,8.966,-0.252827,10.2357,0.398081,-0.692062,-0.148395
37238,1.00907,0.0691683,0.0106247,-0.252628,-0.878093,10.1276,0.425746,-1.09801,-0.148149,8.97324,-0.245692,10.2248,0.39792,-0.69207,-0.148149
38689,1.00907,0.0691684,0.0106193,-0.232182,-0.851501,10.1254,0.424934,-1.09781,-0.14832,8.99369,-0.2191,10.2225,0.397108,-0.691869,-0.14832
40026,1.00907,0.0691684,0.0106193,-0.232182,-0.851501,10.1254,0.424934,-1.09781,-0.14832,8.99369,-0.2191,10.2225,0.397108,-0.691869,-0.14832
40118,1.00907,0.0691684,0.01062,-0.211428,-0.911331,10.1202,0.4255,-1.09773,-0.148302,9.01445,-0.27893,10.2173,0.397674,-0.69179,-0.148302
40648,0.995868,0.0557254,0.0148618,-0.211428,-0.911331,10.1202,0.4255,-1.09773,-0.148302,8.89371,-0.401839,10.256,0.403082,-0.697103,-0.148302
41538,0.995868,0.0557254,0.0148625,-0.190799,-0.925513,10.1222,0.425695,-1.09746,-0.148316,8.91434,-0.41602,10.2581,0.403278,-0.696831,-0.148316
42968,0.995868,0.0557254,0.0148632,-0.176932,-0.899684,10.1171,0.425291,-1.09713,-0.14815,8.92821,-0.390191,10.2529,0.402873,-0.696502,-0.14815
44407,0.995868,0.0557254,0.0148639,-0.174828,-0.894246,10.1089,0.425218,-1.09721,-0.147919,8.93031,-0.384753,10.2448,0.4028,-0.696582,-0.147919
44585,0.988,0.0665823,0.0171414,-0.174828,-0.894246,10.1089,0.425218,-1.09721,-0.147919,8.85838,-0.285489,10.2656,0.398433,-0.699747,-0.147919
45844,0.988,0.0665823,0.0171421,-0.156487,-0.848766,10.1023,0.424481,-1.09677,-0.147817,8.87672,-0.240009,10.259,0.397695,-0.699304,-0.147817
47258,0.988,0.0665823,0.0171428,-0.13544,-0.871588,10.0927,0.424563,-1.09631,-0.148154,8.89777,-0.262832,10.2495,0.397778,-0.69885,-0.148154
48545,0.984905,0.0689338,0.0163249,-0.13544,-0.871588,10.0927,0.424563,-1.09631,-0.148154,8.86947,-0.241332,10.242,0.396832,-0.700095,-0.148154
48699,0.984905,0.0689338,0.0163256,-0.114508,-0.913495,10.0896,0.425039,-1.096,-0.14822,8.8904,-0.283238,10.2388,0.397308,-0.699782,-0.14822
50126,0.984905,0.0689338,0.0163256,-0.114508,-0.913495,10.0896,0.425039,-1.096,-0.14822,8.8904,-0.283238,10.2388,0.397308,-0.699782,-0.14822
50134,0.984905,0.0689339,0.0163273,-0.102036,-0.904789,10.0905,0.42479,-1.09584,-0.148159,8.90287,-0.274531,10.2398,0.397058,-0.699621,-0.148159
