time,fx,fy,fz,tx,ty,tz
123617,-0.750172,-0.796782,10.1466,0.416921,-1.11558,-0.148088
125057,-1.05208,-0.960553,10.1399,0.431018,-1.14702,-0.148065
126473,-0.434673,-0.911174,10.1426,0.424559,-1.10594,-0.150407
127907,-0.156757,-0.877273,10.2649,0.42526,-1.09269,-0.148304
129354,0.024923,-0.95901,10.1637,0.428184,-1.08704,-0.149457
130797,0.144636,-0.948807,10.1837,0.427685,-1.06565,-0.149501
132198,-0.724861,-0.866501,10.1818,0.425755,-1.13159,-0.147403
133638,-0.772925,-0.818646,10.1689,0.418891,-1.11529,-0.14883
135069,-1.17218,-0.927113,10.2244,0.426544,-1.15459,-0.147665
136508,-0.58239,-0.976929,10.1317,0.430145,-1.11987,-0.149997
137924,-0.05791,-0.849374,10.3236,0.422601,-1.08462,-0.148398
139363,0.159709,-1.03666,10.14,0.431455,-1.08172,-0.149957
140808,0.32808,-1.09719,10.0398,0.438595,-1.05239,-0.149708
142236,-0.675683,-0.692673,10.2307,0.411278,-1.12632,-0.1471
143677,-0.871589,-0.886402,10.0875,0.425025,-1.12106,-0.149135
145112,-1.36123,-0.964078,10.174,0.43098,-1.16285,-0.147743
146553,-0.945287,-0.786645,10.2899,0.412955,-1.14721,-0.150788
148001,-0.080588,-1.08585,10.1913,0.438466,-1.08152,-0.148352
149389,0.127568,-1.03285,10.2176,0.430685,-1.08793,-0.149366
150833,0.683353,-0.985633,10.0616,0.427989,-1.0336,-0.151052
152293,-0.407048,-0.862695,10.0414,0.424001,-1.10798,-0.146864
153708,-0.832643,-0.753657,10.03,0.413135,-1.12147,-0.149644
155157,-1.42077,-0.917874,10.1499,0.427649,-1.16065,-0.147964
156554,-1.31066,-0.846018,10.2065,0.421776,-1.16987,-0.149799
157993,-0.111313,-1.0108,10.247,0.429732,-1.08142,-0.15025
159424,0.126488,-1.18631,10.0535,0.443341,-1.09265,-0.149837
160878,0.908189,-0.8642,10.0561,0.420986,-1.01926,-0.151547
162291,-0.051976,-0.769868,10.0121,0.415801,-1.08411,-0.1469
163721,-0.692237,-0.887506,9.87993,0.42605,-1.11865,-0.149902
165164,-1.27681,-0.71883,10.1755,0.413778,-1.14894,-0.147323
166589,-1.46791,-0.918877,10.2636,0.424214,-1.17984,-0.149014
168004,-0.27555,-1.2511,10.1763,0.446425,-1.09096,-0.151034
169492,0.201653,-1.02336,10.2486,0.428507,-1.09159,-0.148641
170888,1.09091,-0.995067,9.98849,0.429928,-1.01412,-0.151739
172329,0.393183,-0.824745,10.0302,0.421109,-1.05744,-0.147722
173772,-0.487107,-0.765453,9.92184,0.418216,-1.11016,-0.149584
