time,fx,fy,fz,tx,ty,tz
123210,-0.303768,-0.941676,10.0924,0.425766,-1.10088,-0.148032
124612,-0.47433,-0.970697,10.1483,0.428748,-1.10847,-0.147874
126049,-0.60107,-0.940074,10.1263,0.426213,-1.11534,-0.147709
127492,-0.676177,-0.93433,10.1569,0.426835,-1.12182,-0.148319
128925,-0.549456,-0.932763,10.1476,0.425571,-1.11482,-0.148389
130345,-0.351622,-0.948649,10.1622,0.427524,-1.10411,-0.147804
131780,-0.296735,-0.965094,10.1976,0.427467,-1.09853,-0.148958
133217,-0.433599,-1.0047,10.2157,0.43027,-1.10625,-0.14861
134633,-0.643475,-0.973755,10.2097,0.42764,-1.11886,-0.148531
136065,-0.792115,-0.924784,10.2111,0.425801,-1.12627,-0.148191
137507,-0.820284,-0.932919,10.157,0.425293,-1.12846,-0.148903
138945,-0.673606,-0.927573,10.2015,0.425159,-1.12336,-0.148815
140373,-0.396975,-0.953574,10.1923,0.427091,-1.10483,-0.148132
141828,-0.330138,-0.980267,10.2218,0.427338,-1.10115,-0.148395
143268,-0.429381,-1.00198,10.2305,0.429856,-1.10275,-0.148569
144673,-0.737982,-0.979775,10.2576,0.429691,-1.12345,-0.148031
146112,-0.904904,-0.950108,10.2125,0.425876,-1.13212,-0.148135
147544,-1.0001,-0.957552,10.2437,0.425265,-1.13718,-0.148188
148967,-0.81321,-0.954141,10.2278,0.426365,-1.13156,-0.147801
150405,-0.458411,-0.995061,10.2627,0.429329,-1.10558,-0.147607
151840,-0.304601,-1.0182,10.2302,0.430809,-1.10118,-0.148406
153259,-0.259464,-1.0046,10.2066,0.430459,-1.09184,-0.148132
154691,-0.711445,-0.947855,10.1657,0.428043,-1.1219,-0.147881
156124,-0.895887,-0.894503,10.1126,0.424755,-1.12951,-0.148231
157565,-1.05736,-0.90408,10.1538,0.423781,-1.14265,-0.147488
158986,-0.828526,-0.929871,10.1273,0.425119,-1.13052,-0.14855
160422,-0.439486,-0.961634,10.1316,0.427482,-1.10482,-0.148291
161858,-0.164043,-0.978195,10.129,0.428436,-1.09554,-0.148601
163304,0.020546,-0.918408,10.141,0.426688,-1.07828,-0.148615
164751,-0.386451,-0.866911,10.1303,0.424809,-1.10366,-0.1482
166158,-0.699436,-0.818361,10.148,0.421,-1.12152,-0.148045
167581,-0.863383,-0.86601,10.1428,0.4222,-1.13156,-0.147983
169049,-0.683413,-0.933955,10.1421,0.426191,-1.12566,-0.148229
170443,-0.244244,-0.943148,10.1523,0.425013,-1.09764,-0.148127
171898,-0.065461,-0.901618,10.0882,0.426351,-1.09085,-0.149225
173314,0.124368,-0.866639,10.0546,0.423851,-1.07513,-0.149177
174768,-0.139508,-0.761167,10.0875,0.416702,-1.09082,-0.148111
176204,-0.509086,-0.850429,10.092,0.423195,-1.11299,-0.149
177626,-0.645219,-0.890467,10.1099,0.425331,-1.12033,-0.148651
179045,-0.486034,-0.86681,10.2229,0.421894,-1.11842,-0.148133
180488,-0.044507,-0.981708,10.1129,0.42932,-1.08644,-0.148388
181924,0.12492,-0.911031,10.1565,0.427522,-1.08132,-0.148321
183339,0.332116,-0.826042,10.1577,0.4179,-1.06644,-0.149188
184779,-0.087943,-0.969988,10.0978,0.430619,-1.08685,-0.14863
186215,-0.465193,-0.924278,10.132,0.424894,-1.11215,-0.148066
187659,-0.668375,-0.924302,10.1868,0.423426,-1.12011,-0.148019
189067,-0.710654,-1.00856,10.0833,0.432147,-1.12998,-0.148299
190503,-0.257044,-0.927819,10.1142,0.424767,-1.09573,-0.148009
191931,-0.143106,-0.904694,10.0743,0.424663,-1.09573,-0.148684
193404,-0.016067,-0.928391,10.0879,0.426173,-1.08264,-0.148809
194815,-0.313415,-0.890614,10.1601,0.423104,-1.10042,-0.147947
196232,-0.561043,-0.989496,10.1496,0.431947,-1.11467,-0.148237
197666,-0.650243,-0.937529,10.194,0.426324,-1.12009,-0.148684
199105,-0.591377,-0.967474,10.1721,0.426101,-1.12112,-0.14798
200531,-0.207599,-1.01111,10.0704,0.432712,-1.09362,-0.147945
201980,-0.167312,-0.889158,10.1211,0.423352,-1.09583,-0.147821
203403,-0.157197,-0.905689,10.0822,0.424885,-1.08884,-0.14821
204862,-0.542006,-0.9936,10.1505,0.429674,-1.11563,-0.14734
206291,-0.704593,-0.941378,10.1645,0.425909,-1.12121,-0.148281
207701,-0.789823,-0.995464,10.2135,0.431333,-1.12891,-0.147812
209139,-0.543492,-0.975623,10.1255,0.427905,-1.116,-0.148427
210563,-0.227411,-0.936804,10.1368,0.424622,-1.09531,-0.148008
211992,-0.124652,-0.956685,10.1061,0.426878,-1.09603,-0.148272
213439,-0.076443,-0.892068,10.2182,0.423857,-1.08486,-0.148103
214878,-0.439597,-1.01021,10.223,0.428674,-1.10933,-0.148756
216290,-0.518912,-1.06438,10.2242,0.432313,-1.11101,-0.149089
217771,-0.515561,-0.988365,10.286,0.429502,-1.11708,-0.148151
219177,-0.238344,-1.00982,10.1926,0.430812,-1.09793,-0.147689
220586,-0.025417,-0.970654,10.1126,0.427447,-1.08781,-0.148287
222025,0.063412,-0.903327,10.1632,0.422636,-1.08143,-0.148396
223464,-0.062655,-0.947816,10.1724,0.427341,-1.08765,-0.148977
224898,-0.372881,-0.945897,10.193,0.428255,-1.1078,-0.147912
226343,-0.486084,-0.970804,10.1851,0.428768,-1.1101,-0.14876
227776,-0.456459,-0.944177,10.1788,0.428614,-1.11455,-0.148038
229215,-0.186066,-0.85726,10.0891,0.421554,-1.09513,-0.148494
230607,-0.031104,-0.883345,10.1268,0.424768,-1.08695,-0.14826
232064,0.055015,-0.871194,10.0559,0.422799,-1.08303,-0.148914
233502,-0.088318,-0.854196,10.1587,0.423006,-1.08908,-0.147268
234912,-0.368785,-0.95171,10.0788,0.427718,-1.1048,-0.147753
236333,-0.479832,-0.929388,10.1086,0.426606,-1.10971,-0.148584
237778,-0.393103,-0.865056,10.0861,0.423299,-1.10852,-0.147361
239217,-0.14281,-0.847473,10.0363,0.423805,-1.09441,-0.148319
240657,0.024941,-0.808899,9.9802,0.41918,-1.08451,-0.148193
242071,-0.00846,-0.839923,10.0416,0.423043,-1.08473,-0.148621
243501,-0.230163,-0.881789,9.99167,0.423287,-1.09751,-0.148183
244932,-0.43225,-0.893027,10.0404,0.424326,-1.1065,-0.147622
246408,-0.461358,-0.944633,10.0258,0.428807,-1.11158,-0.148441
247835,-0.38864,-0.87994,9.98519,0.423312,-1.10615,-0.148512
249232,-0.221887,-0.825253,10.022,0.419342,-1.09777,-0.147503
250673,-0.074736,-0.931796,10.0007,0.429733,-1.09187,-0.147471
252101,-0.045587,-0.930793,9.98262,0.422432,-1.08695,-0.147882
253524,-0.299391,-1.01795,10.0848,0.433198,-1.09735,-0.149064
254954,-0.580244,-0.982919,9.96534,0.427183,-1.11821,-0.148852
256421,-0.765297,-0.994309,10.0376,0.430838,-1.12211,-0.14784
257879,-0.943099,-0.887734,9.89213,0.421787,-1.13248,-0.148062
259279,-1.04116,-0.854223,9.92967,0.420133,-1.13692,-0.148629
260696,-0.92608,-0.934904,9.98496,0.425394,-1.13303,-0.147714
262125,-0.671552,-0.948296,9.92698,0.425735,-1.11576,-0.148924
263592,-0.69945,-0.954598,10.0656,0.428365,-1.11849,-0.148501
265040,-0.926385,-0.976566,10.0602,0.42974,-1.12971,-0.148787
266430,-1.08358,-0.935718,10.076,0.424957,-1.1399,-0.148714
267863,-1.06214,-0.933161,10.1294,0.424085,-1.13685,-0.148255
269296,-0.812892,-0.927778,10.1276,0.425782,-1.12881,-0.148285
270730,-0.608469,-0.99222,10.1794,0.429562,-1.11496,-0.14843
272158,-0.473521,-1.02856,10.1019,0.43222,-1.10729,-0.148969
273586,-0.513568,-0.946496,10.1555,0.426012,-1.10699,-0.147689
275031,-0.861501,-0.977728,10.1134,0.427885,-1.12869,-0.148254
276463,-1.0498,-0.907444,10.1073,0.424379,-1.14008,-0.14792
277871,-1.05623,-0.872655,10.1814,0.419093,-1.13822,-0.148219
279309,-0.732081,-1.0005,10.1882,0.428541,-1.12424,-0.148517
280781,-0.456882,-1.03816,10.2249,0.432324,-1.10836,-0.148198
282209,-0.400313,-1.03263,10.2229,0.430547,-1.10446,-0.14875
283608,-0.340369,-1.04373,10.186,0.43142,-1.0954,-0.14745
285041,-0.811378,-1.00117,10.2347,0.428432,-1.12748,-0.14842
286537,-0.968485,-0.953162,10.1364,0.426574,-1.13352,-0.148567
287967,-1.17875,-0.953793,10.2017,0.427541,-1.14687,-0.147356
289365,-1.02198,-0.972815,10.1373,0.426638,-1.14161,-0.148716
290774,-0.654175,-1.01351,10.0978,0.431776,-1.11225,-0.14753
292209,-0.559412,-0.956477,10.1327,0.427057,-1.11519,-0.14853
293653,-0.483181,-0.866912,10.1134,0.421854,-1.10451,-0.149197
295111,-0.837297,-0.880183,10.0372,0.423954,-1.12667,-0.147289
296532,-1.03475,-0.810341,10.058,0.418251,-1.13539,-0.148746
297960,-1.11965,-0.811895,10.0913,0.419465,-1.14364,-0.147907
299410,-0.787703,-0.88806,10.0959,0.425558,-1.126,-0.148714
300836,-0.464024,-0.868719,10.0755,0.424226,-1.10946,-0.14969
302257,-0.218924,-0.892188,10.1208,0.424705,-1.09598,-0.148434
303696,-0.125847,-0.865482,10.0512,0.422901,-1.08837,-0.148006
305132,-0.367284,-0.846952,10.0373,0.422362,-1.10009,-0.148557
306570,-0.685229,-0.87663,10.0327,0.423999,-1.12202,-0.149374
308009,-0.713123,-0.856724,10.0726,0.422087,-1.12347,-0.147999
309397,-0.637206,-0.879741,9.9814,0.421471,-1.12244,-0.147634
310832,-0.287734,-0.929115,9.98372,0.426755,-1.09933,-0.149339
312284,-0.151315,-0.896068,9.9905,0.424103,-1.09425,-0.148625
313712,-0.124931,-0.899554,9.99835,0.426224,-1.09052,-0.148475
315120,-0.411283,-0.956337,9.95669,0.427919,-1.1034,-0.148101
316568,-0.689686,-0.95323,10.0431,0.427709,-1.12355,-0.148445
318051,-0.732226,-0.920223,9.97369,0.427931,-1.12119,-0.14899
319448,-0.646456,-0.938126,9.96641,0.426721,-1.12471,-0.148579
320855,-0.257793,-0.992915,9.94646,0.425938,-1.09781,-0.148738
322295,-0.188056,-0.985788,9.93237,0.426587,-1.09574,-0.147743
323728,-0.120026,-0.92274,9.92901,0.425704,-1.0894,-0.148944
325163,-0.329062,-0.911257,9.94751,0.425484,-1.10049,-0.148164
326580,-0.535584,-0.928042,9.91238,0.423814,-1.116,-0.147748
328011,-0.590586,-0.81562,9.98764,0.419973,-1.11445,-0.147472
329458,-0.418338,-0.843652,9.93914,0.420265,-1.11038,-0.148573
330872,-0.131513,-0.91266,9.95951,0.424968,-1.0913,-0.148916
332330,-0.077924,-0.910286,9.96732,0.426027,-1.09284,-0.148836
333745,-0.159545,-0.951615,10.0441,0.427631,-1.09119,-0.148927
335184,-0.540264,-0.945449,10.0018,0.428901,-1.11445,-0.149606
336596,-0.623337,-0.910392,10.0184,0.424164,-1.11828,-0.148493
338037,-0.578462,-0.927442,10.0277,0.425003,-1.11968,-0.147479
339477,-0.214918,-0.96959,10.032,0.428157,-1.09672,-0.147615
