Wrench,C,L_s0,L_s1,L_s2,L_s3,L_s4,L_s5,L_s6,L_s7,Q_s0s0,Q_s0s1,Q_s0s2,Q_s0s3,Q_s0s4,Q_s0s5,Q_s0s6,Q_s0s7,Q_s1s1,Q_s1s2,Q_s1s3,Q_s1s4,Q_s1s5,Q_s1s6,Q_s1s7,Q_s2s2,Q_s2s3,Q_s2s4,Q_s2s5,Q_s2s6,Q_s2s7,Q_s3s3,Q_s3s4,Q_s3s5,Q_s3s6,Q_s3s7,Q_s4s4,Q_s4s5,Q_s4s6,Q_s4s7,Q_s5s5,Q_s5s6,Q_s5s7,Q_s6s6,Q_s6s7,Q_s7s7
Fx,-1.7060536169736578,-0.0,-0.0,-0.0007740468615861956,-0.003530293949947401,-0.0,-0.0,0.0,0.0,6.657193716497142e-06,-6.4385236289567474e-06,-3.7059496143267774e-06,2.369350759487115e-06,1.219656140621327e-05,1.317954085738266e-19,5.66054540899066e-06,1.694712462716722e-06,-3.256274980530589e-06,-6.3102294082982565e-06,4.4429843268287105e-06,-7.785404944879831e-06,-3.954367708585351e-20,1.598468539709118e-07,1.434912603618596e-05,-3.4065973435241024e-06,-2.6950798897959412e-06,3.1587267905874974e-07,3.876806708215947e-23,-1.9173589511106127e-05,2.046520068240191e-05,3.3492370066240353e-06,-7.506111935470615e-08,-4.821542404142921e-25,1.093389273553468e-05,-1.472182831932644e-05,5.4824439145186985e-06,1.4947012353316601e-19,-3.45689397751185e-07,-6.152346497258244e-06,2.16529586421471e-06,1.9494540754643096e-07,-6.491546403068338e-06,1.8396398450916426e-06,-1.3092526276169222e-05,2.5406039672687753e-05
Fy,-2.9166628031060116,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,3.148678286083967e-06,-1.668841351484482e-06,-2.662504053098173e-06,-3.993064148334462e-06,2.9649005222490245e-06,2.807011202188322e-20,-6.746994076448481e-07,5.390556543660444e-06,1.1127859711436238e-06,-2.3637607933087394e-06,-1.9283691466887184e-06,5.851742563746516e-06,3.6067178876526076e-21,-3.3278721467581164e-06,1.216586661538945e-05,2.0004727220912908e-06,1.3006140712392963e-06,-6.725301078688397e-07,-1.0716601400568367e-22,-2.4851451544402854e-06,1.2848243199996857e-05,4.4863558517595e-06,-1.3289445935109034e-06,-0.0,5.226409727525639e-06,-2.5211472687884785e-05,-3.2647662591103203e-06,-5.776011507478166e-20,4.595630397860471e-06,-5.330330851774725e-06,-7.602788633909151e-07,3.19544361462077e-06,-3.7469837318647506e-06,-2.4125003276823268e-06,-1.49760621559979e-05,3.0013947166810995e-05
Fz,-9.270929117243941,-0.0025910519922155346,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.2566952854585416e-06,-3.8377894471686395e-06,-1.976049051880215e-06,8.080597783265238e-06,-8.924995993700133e-07,-1.9285237738222144e-21,8.757226369974304e-06,-2.4169828323304427e-06,-9.251544829427076e-06,1.265960953372728e-06,-2.396714799779794e-06,1.417365375025164e-06,2.0804457025352804e-21,5.067205124833415e-06,2.9572971898062705e-05,-8.373973254080729e-06,2.891112872466694e-06,-2.693380590306785e-06,-2.5725381656661534e-22,-1.694820400063304e-05,5.242682636315642e-05,2.661669492362287e-06,6.8116646988527e-06,0.0,1.3694698935533061e-05,-3.725914895834265e-05,6.7410165943284796e-06,2.1078750442874122e-19,4.331212991650791e-06,-1.3891666985655755e-05,2.1383367437377783e-06,3.6865888886433655e-06,-1.2855934959332336e-05,7.730970205737307e-06,-3.3417245253908486e-05,2.56773526572696e-05
Mx,-0.37996587162029305,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.3550925314338176e-07,-6.47363010456827e-07,3.4465360410178065e-07,1.614772419270107e-07,1.0244002611707306e-06,3.3748514161218855e-21,6.949937147643767e-07,-6.690708127436076e-07,-6.611991759715827e-07,1.2907522606427774e-07,3.540657428586613e-07,-5.543324767059038e-07,-2.1465420544124547e-21,4.5409287759237754e-07,2.17576758386616e-06,-1.0008824013768005e-06,-4.776256632127699e-08,-4.909836781055901e-08,-0.0,-1.6246037519602804e-06,2.8607416358266287e-06,8.596308952567713e-07,-6.928751314005502e-07,-0.0,7.273144687416947e-07,-4.029585505401269e-06,1.519969333825891e-06,4.339978737017593e-20,-6.014775990745504e-07,9.84146056190983e-07,7.661643545379831e-09,-4.4045423289093806e-07,7.910651713189581e-07,6.142181679033688e-08,-2.2239787566432637e-06,2.8167611068980112e-06
My,0.11873744506760653,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-7.772373326987407e-07,-1.1113127085382689e-08,3.1936575871709534e-07,-1.0748148105870409e-07,-5.829854613495611e-08,-9.941587641342417e-22,4.952480073566516e-07,-1.0970114291278938e-06,-5.607469962169471e-08,1.228627664409588e-06,-6.889333692367682e-07,-1.5455901369182286e-07,-2.4634729655382684e-22,2.1519350769166672e-07,1.987981635238372e-06,-1.1851433349471777e-07,2.3162026569960007e-07,-3.513665784375916e-07,-1.910884949348762e-22,1.3926859771386606e-06,-4.436655323531682e-06,4.4911594627276324e-07,-8.58966477811344e-07,-0.0,-2.840386436152539e-07,-3.930727866625153e-07,4.410952705432108e-07,1.0780170546728554e-20,-1.0663902948620287e-07,1.7483405410444193e-06,-4.719299086911911e-07,-2.3257758012136854e-07,1.7656110113600181e-06,-1.1775091756763476e-06,2.9567848931681174e-06,-2.9444012996210177e-06
Mz,0.28373183193763063,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.6559783009958317e-07,1.593037235896618e-07,-1.82121234347241e-08,-8.130470181131327e-07,-4.185702502712494e-08,-9.59633534154841e-22,-3.519260228145153e-07,1.651083378833823e-07,4.570196180944426e-07,6.380671627528213e-08,1.414418733494489e-08,-1.8184663194908733e-07,-6.291758868573503e-22,-3.6636045246080054e-08,-2.2383468074345058e-06,1.1861339743657282e-06,-4.2532601022550885e-08,-1.7039558466183206e-07,-5.292533443626949e-23,1.849922340753436e-06,-1.383856420086349e-06,2.795986842923438e-07,-2.9726708559704385e-08,-1.506732001294663e-24,-1.998493011167722e-07,-3.874054145277267e-07,-7.266109943716504e-07,-1.957948524458192e-20,4.7157074956015697e-07,-4.079165202756607e-07,-1.2192615491247583e-07,3.163036214746503e-07,-3.0798663011950354e-07,-2.464930112283401e-07,1.344945979567898e-06,-9.47833076385306e-07
